BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,DOT,LINK,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,STX,WIF,IMX,ATOM,FIL,ARB,XLM,XMR,FLOKI,AR,GRT,TAO,OP,FDUSD,SUI,VET,INJ,MKR
27968.05,1773.88,328.6,20.94,0.9991,0.4479,0.07436,0.3557,1.061e-05,17.12,6.042,7.261,0.06412,124.7,1.957,1.104,5.786,93.32,,4.985,,20.33,1.232,11.8537,0.0619,1.0059,,1.107,11.326,5.681,1.2818,0.0918,161.5,,8.26,0.1415,,2.263,,,0.02287,4.063,669.0
27124.91,1715.22,310.6,19.91,0.9995,0.479,0.07287,0.3455,1.041e-05,16.49,5.867,6.87,0.06355,120.4,1.845,1.0455,5.644,89.23,,4.756,,19.67,1.148,11.131,0.0592,0.911,,1.023,10.838,5.344,1.1657,0.0925,151.7,,7.8,0.1339,,2.068,,,0.022,3.79,677.0
27261.07,1772.99,313.2,20.45,0.9997,0.5144,0.07381,0.3681,1.045e-05,16.71,6.056,6.947,0.06418,120.9,1.883,1.086,5.808,89.13,,4.831,,20.16,1.178,11.2683,0.0595,0.9454,,1.063,11.212,5.555,1.2204,0.0977,154.0,,8.07,0.1401,,2.193,,,0.02242,4.184,674.0
28348.6,1793.07,313.7,21.1,0.9998,0.5425,0.07557,0.3811,1.068e-05,17.31,6.183,7.382,0.06433,123.3,2.0,1.1223,5.945,91.31,,5.147,,20.67,1.293,11.6318,0.0687,0.9845,,1.124,11.43,5.732,1.2257,0.1017,158.9,,8.52,0.1467,,2.229,,,0.02321,4.342,692.0
28028.53,1793.61,316.4,20.55,1.0,0.5319,0.07422,0.3761,1.057e-05,17.23,6.122,7.233,0.06481,121.1,1.927,1.093,5.897,89.06,,5.019,,20.28,1.262,11.1596,0.0649,0.9288,,1.122,11.149,5.563,1.3796,0.1064,155.3,,8.22,0.1446,,2.301,,,0.02287,4.703,676.0
28465.36,1821.52,316.9,21.16,0.9997,0.5374,0.07695,0.3989,1.083e-05,17.7,6.343,7.588,0.06553,123.9,1.99,1.1176,6.062,89.57,,5.191,,20.74,1.373,11.3838,0.0731,0.9307,,1.139,11.188,5.686,1.3897,0.1122,157.6,,8.72,0.1453,,2.289,,,0.02346,4.724,686.0
28452.73,1820.79,314.9,21.08,0.9997,0.5095,0.08181,0.3919,1.118e-05,17.8,6.344,7.548,0.06648,126.1,1.987,1.112,6.101,92.57,,5.241,,21.24,1.346,11.2682,0.0705,0.8956,,1.112,11.383,5.761,1.2931,0.1082,157.0,,8.74,0.1426,,2.278,,,0.02355,5.185,690.0
28171.87,1794.51,313.7,20.52,0.9995,0.518,0.07903,0.3815,1.078e-05,17.25,6.263,7.255,0.06518,123.0,1.92,1.0953,5.948,92.77,,5.065,,20.43,1.275,12.1596,0.073,0.8721,,1.052,11.12,5.546,1.2016,0.1066,160.2,,8.31,0.1386,,2.202,,,0.02329,5.157,673.0
27800.0,1810.51,308.8,20.45,0.9997,0.4959,0.096,0.3872,1.123e-05,17.11,6.419,7.245,0.06574,127.8,1.948,1.0969,5.93,92.97,,4.93,,20.7,1.293,11.3385,0.0682,0.8758,,1.049,11.147,5.572,1.153,0.1064,156.5,,8.26,0.1395,,2.166,,,0.0231,5.875,673.0
28165.47,1870.37,310.8,20.92,0.9996,0.5026,0.09512,0.3894,1.123e-05,17.65,6.439,7.37,0.06573,127.1,1.996,1.1388,6.151,92.58,,4.993,,21.12,1.331,11.4669,0.0675,0.8782,,1.065,11.285,5.616,1.2345,0.106,158.6,,8.46,0.1432,,2.233,,,0.02415,5.471,681.0
28170.01,1908.69,313.9,20.97,0.9997,0.5055,0.09267,0.3923,1.123e-05,18.0,6.406,7.321,0.06616,127.2,2.027,1.1403,6.232,92.64,,5.017,,21.13,1.342,11.5456,0.067,0.8634,,1.105,11.523,5.671,1.2425,0.1072,158.0,,8.59,0.1475,,2.282,,,0.02438,5.525,693.0
28033.82,1872.41,312.3,20.62,0.9994,0.5028,0.08541,0.3829,1.095e-05,17.97,6.281,7.201,0.06608,126.0,1.989,1.1148,6.076,90.97,,4.89,,20.7,1.307,11.463,0.0655,0.8228,,1.06,11.334,5.601,1.2149,0.1058,156.3,,8.4,0.1458,,2.264,,,0.02461,5.625,719.0
27906.33,1863.72,310.3,20.44,0.9993,0.5126,0.08222,0.3835,1.093e-05,17.6,6.178,7.267,0.06603,124.5,2.018,1.1069,6.002,90.6,,4.98,,20.48,1.303,11.1573,0.065,0.7971,,1.028,11.046,5.789,1.197,0.1065,156.7,,8.45,0.1423,,2.267,,,0.02415,5.571,696.0
27938.38,1848.82,310.5,20.04,0.9994,0.5048,0.08134,0.3853,1.086e-05,17.45,6.13,7.13,0.06613,123.8,1.97,1.102,5.914,89.91,,4.915,,20.35,1.271,11.0255,0.0647,0.8042,,1.028,10.959,5.766,1.1618,0.1044,158.3,,8.29,0.1415,,2.237,,,0.02398,5.411,688.0
28323.76,1858.92,312.8,20.28,0.9993,0.5054,0.08318,0.3894,1.096e-05,17.54,6.211,7.203,0.06662,125.6,2.006,1.1008,5.913,90.58,,5.015,,20.56,1.306,11.0699,0.0644,0.8746,,1.046,11.028,5.749,1.1815,0.1048,160.2,,8.4,0.1435,,2.281,,,0.02433,5.701,706.0
29637.34,1910.2,318.5,20.89,0.9992,0.5176,0.08473,0.3971,1.113e-05,17.94,6.291,7.343,0.0673,128.0,2.068,1.1207,6.012,93.78,,5.181,,21.01,1.482,11.4536,0.0662,0.9182,,1.087,11.18,6.172,1.2423,0.1057,159.2,,8.81,0.1535,,2.368,,,0.02499,6.308,726.0
30200.42,1889.86,322.3,22.98,0.9989,0.5167,0.08408,0.4014,1.104e-05,18.14,6.415,7.301,0.06632,129.1,2.052,1.112,5.933,94.22,,5.329,,21.48,1.576,11.7336,0.0653,0.9629,,1.086,11.267,6.109,1.2164,0.1051,162.2,,8.68,0.1478,,2.293,,,0.02492,6.631,726.0
29888.07,1917.39,319.9,23.8,0.9993,0.5049,0.08346,0.4047,1.096e-05,18.26,6.403,7.23,0.06514,128.7,2.226,1.1037,5.946,92.06,,5.397,,22.04,1.594,11.3542,0.064,0.885,,1.13,11.318,5.963,1.1934,0.1036,162.1,,8.53,0.1476,,2.282,,,0.02445,6.58,726.0
30373.84,2012.01,324.7,24.43,0.999,0.5125,0.08729,0.4251,1.11e-05,18.84,6.634,7.458,0.06523,131.1,2.203,1.1334,6.205,94.17,,5.472,,22.4,1.602,12.3686,0.0666,0.8849,,1.135,11.807,6.077,1.369,0.1054,161.8,,8.99,0.1505,,2.431,,,0.02533,6.727,753.0
30466.93,2099.99,328.9,24.71,0.999,0.5227,0.08866,0.4381,1.124e-05,19.22,6.731,7.743,0.06619,132.2,2.221,1.1599,6.308,96.33,,5.498,,22.41,1.736,12.6731,0.0674,0.882,,1.214,12.254,6.223,1.6985,0.1069,162.0,,9.11,0.1614,,2.655,,,0.02586,8.089,772.0
30295.09,2090.6,333.0,24.05,0.9992,0.5192,0.08888,0.4522,1.156e-05,19.07,6.804,8.005,0.06588,132.5,2.316,1.1702,6.266,96.68,,5.86,,22.08,1.672,12.5596,0.068,0.8669,,1.202,12.371,6.296,1.6531,0.1064,162.3,,9.2,0.1668,,2.708,,,0.0257,8.199,778.0
30304.65,2118.67,347.7,25.34,0.9993,0.5209,0.09043,0.4513,1.157e-05,20.17,6.824,8.14,0.06655,134.4,2.323,1.1828,6.314,100.01,,6.069,,22.25,1.778,12.591,0.0691,0.8586,,1.21,12.662,6.339,1.6957,0.1073,163.8,,9.38,0.1663,,2.691,,,0.02618,9.309,801.0
29430.27,2074.0,340.0,24.58,0.9994,0.5109,0.09137,0.4341,1.137e-05,20.51,6.696,8.16,0.06574,131.5,2.287,1.1529,6.129,98.84,,6.244,,21.72,1.979,12.3071,0.0664,0.8406,,1.129,12.352,6.119,1.6091,0.104,159.4,,9.09,0.1726,,2.609,,,0.02547,9.058,780.0
30380.01,2103.5,343.1,24.82,0.9996,0.5324,0.09411,0.4435,1.157e-05,21.2,6.914,8.578,0.06681,133.6,2.346,1.1718,6.325,101.95,,6.819,,21.87,2.024,12.7167,0.068,0.8618,,1.146,12.555,6.261,1.6731,0.1057,162.8,,9.19,0.1698,,2.702,,,0.02659,8.624,789.0
28797.1,1933.73,322.4,22.66,0.9995,0.4911,0.08788,0.4163,1.083e-05,18.98,6.309,7.752,0.06563,124.9,2.148,1.0843,5.831,90.47,,6.119,,20.3,1.936,11.3108,0.0624,0.7612,,1.035,11.702,5.696,1.4888,0.0976,153.0,,8.21,0.1518,,2.544,,,0.02382,8.334,722.0
28243.65,1942.98,318.1,22.2,0.9999,0.4752,0.08389,0.4007,1.059e-05,18.3,6.111,7.512,0.06542,123.2,2.048,1.0458,5.785,90.22,,5.882,,20.07,1.901,11.0353,0.0618,0.7354,,0.972,11.393,5.564,1.442,0.0957,153.5,,7.9,0.1464,,2.439,,,0.02313,7.906,716.0
27262.84,1848.78,321.2,21.25,1.0001,0.4491,0.07842,0.3824,1.029e-05,16.94,5.849,7.113,0.06497,119.8,1.927,1.0115,5.471,85.32,,5.533,,19.32,1.63,10.1486,0.0596,0.6879,,0.932,10.807,5.258,1.4719,0.0929,151.1,,7.66,0.1363,,2.277,,,0.02217,7.279,678.0
27816.85,1874.16,332.2,21.79,1.0001,0.4719,0.08028,0.3956,1.046e-05,17.21,5.949,7.175,0.0661,122.0,1.946,1.0245,5.503,87.0,,5.613,,20.19,1.815,10.3284,0.0611,0.7315,,0.985,11.03,5.329,1.4652,0.0955,157.4,,7.86,0.1418,,2.308,,,0.02271,7.609,698.0
27590.6,1862.0,330.7,21.47,1.0,0.4647,0.07878,0.3886,1.032e-05,16.84,5.906,7.082,0.06671,119.8,1.911,1.0037,5.429,86.75,,5.417,,19.71,1.706,10.216,0.0602,0.7104,,0.952,10.816,5.269,1.3405,0.0945,157.5,,7.78,0.138,,2.203,,,0.02213,6.882,690.0
27510.93,1841.84,331.2,21.38,1.0,0.4611,0.07873,0.3835,1.027e-05,16.92,5.885,7.068,0.0661,119.2,1.885,0.9889,5.36,88.31,,5.372,,19.4,1.773,10.2221,0.0598,0.7342,,0.969,10.903,5.255,1.3385,0.0934,157.6,,7.73,0.1355,,2.221,,,0.02209,6.991,681.0
28300.79,1866.1,338.4,21.93,1.0,0.4695,0.07976,0.3945,1.036e-05,17.63,5.999,7.274,0.06584,120.2,1.961,1.0043,5.451,91.03,,5.491,,19.79,2.022,10.3677,0.0608,0.7465,,0.973,11.05,5.347,1.3794,0.0949,159.7,,7.81,0.1413,,2.244,,,0.02264,8.274,692.0
28415.29,1866.01,330.6,21.28,0.9997,0.4618,0.07859,0.4014,1.017e-05,17.18,5.852,7.004,0.06507,117.6,1.891,0.9859,5.357,88.13,,5.315,,19.34,2.298,10.0213,0.0604,0.7327,,0.959,10.937,5.25,1.384,0.0936,156.9,,7.63,0.1388,,2.168,,,0.02203,8.352,689.0
29472.77,1908.68,330.9,22.33,0.9996,0.4667,0.08014,0.4101,1.027e-05,17.72,5.97,7.17,0.06576,117.0,1.923,1.0122,5.554,89.73,,5.742,,19.81,2.34,10.1768,0.0612,0.7425,,1.062,11.519,5.39,1.4232,0.0943,153.8,,7.81,0.1404,,2.18,,,0.02256,8.912,703.0
29311.7,1890.94,324.1,23.34,0.9992,0.4796,0.08033,0.4043,1.024e-05,17.55,5.947,7.04,0.06667,118.0,1.916,0.9984,5.524,89.63,,6.045,,19.75,2.364,10.1572,0.0606,0.7146,,1.031,11.715,5.509,1.3799,0.0947,153.2,,7.78,0.1371,,2.138,,,0.02241,8.41,699.0
29230.45,1907.8,321.9,23.19,0.9995,0.478,0.08157,0.4024,1.03e-05,17.49,6.041,7.185,0.068,119.7,1.936,1.0032,5.634,91.08,,6.488,,19.81,2.372,10.7369,0.0607,0.7227,,1.013,11.707,5.571,1.3675,0.0958,154.5,,7.79,0.139,,2.189,,,0.02272,8.082,708.0
29233.21,1870.09,337.5,22.74,0.9995,0.4705,0.07951,0.3956,1.007e-05,17.1,5.877,7.025,0.06713,117.7,1.929,0.9807,5.447,88.22,,6.404,,19.4,2.387,10.3199,0.0635,0.7176,,0.986,11.515,5.416,1.3683,0.0944,155.4,,7.55,0.1355,,2.167,,,0.02218,7.762,693.0
28068.26,1830.73,328.5,21.96,0.9997,0.4649,0.07882,0.3868,9.96e-06,16.65,5.666,6.898,0.06851,117.1,1.838,0.9594,5.331,86.75,,5.765,,19.21,2.204,9.9263,0.0593,0.6818,,0.934,11.003,5.301,1.3187,0.0926,152.7,,7.47,0.1308,,2.081,,,0.02149,7.852,702.0
28669.86,1870.08,321.5,22.25,0.9994,0.4645,0.07876,0.3916,1.001e-05,16.84,5.713,6.987,0.06922,119.3,1.835,0.9768,5.325,88.2,,5.724,,19.25,2.066,9.9287,0.0588,0.755,,0.934,11.03,5.282,1.3486,0.0935,152.7,,7.65,0.1329,,2.163,,,0.02118,7.854,699.0
29026.16,1905.12,325.9,22.24,0.9998,0.4632,0.07962,0.394,1.011e-05,17.21,5.778,7.129,0.06927,120.0,1.899,1.0059,5.389,88.88,,5.939,,19.55,2.278,10.0214,0.0585,0.8048,,0.938,11.102,5.345,1.3428,0.0935,155.2,,7.84,0.1363,,2.164,,1.4016,0.02095,7.937,699.0
28838.16,1877.07,323.8,21.74,0.9996,0.4608,0.07838,0.3873,9.89e-06,16.93,5.671,6.998,0.0694,117.3,1.841,0.9826,5.264,88.38,,5.911,,19.31,2.213,9.6782,0.0574,0.7453,,0.901,10.98,5.265,1.3183,0.0935,155.5,,7.75,0.1321,,2.026,,1.3303,0.02074,7.386,690.0
29505.61,1993.3,326.5,22.82,0.999,0.4671,0.08017,0.3942,9.99e-06,17.38,5.847,7.226,0.07092,120.0,1.865,0.9979,5.545,88.61,3.73e-06,5.943,,19.6,2.184,9.8353,0.0583,0.7258,,0.914,11.214,5.263,1.3562,0.0943,158.3,4.785e-05,7.95,0.134,,1.982,,1.3064,0.02115,7.811,726.0
28848.2,1896.33,321.9,21.91,0.9982,0.4582,0.07672,0.3787,9.45e-06,16.58,5.633,6.92,0.07025,117.0,1.767,0.9753,5.287,83.26,2.63e-06,5.591,,18.94,2.079,9.2118,0.0569,0.7,,0.859,10.841,5.046,1.2393,0.0924,156.2,3.999e-05,7.36,0.1265,,1.868,,1.3297,0.02024,7.228,690.0
28430.1,1870.4,321.0,21.66,0.9986,0.449,0.07652,0.376,9.34e-06,16.41,5.632,6.911,0.0692,116.1,1.737,0.9636,5.262,83.42,2.79e-06,5.543,,18.73,2.127,9.203,0.0564,0.7314,,0.857,10.974,5.031,1.2194,0.0918,156.9,3.923e-05,7.23,0.1262,,1.887,,1.2431,0.02009,7.294,694.0
27668.79,1847.56,313.8,20.62,0.9992,0.4283,0.07239,0.3653,8.92e-06,15.42,5.369,6.582,0.0685,111.1,1.643,0.9005,4.968,77.71,1.94e-06,5.331,,18.27,1.859,8.3072,0.0545,0.741,,0.787,10.591,4.535,1.0945,0.0894,153.5,3.44e-05,6.6,0.1172,,1.719,,1.1374,0.0193,6.663,668.0
27628.27,1846.52,312.1,20.65,0.9994,0.4289,0.0731,0.3633,9e-06,15.31,5.323,6.522,0.06906,122.2,1.623,0.8763,4.954,79.9,2.01e-06,5.28,,18.74,1.739,8.3489,0.054,0.6918,,0.765,10.375,4.545,1.1029,0.089,155.0,3.587e-05,6.61,0.1149,,1.708,,1.1842,0.01941,6.282,671.0
27598.75,1840.84,314.3,20.91,0.9993,0.4303,0.07312,0.3693,8.99e-06,15.52,5.463,6.588,0.06933,115.8,1.661,0.8764,5.134,80.93,1.93e-06,5.288,,18.81,1.831,8.5997,0.0542,0.6634,,0.785,10.983,4.598,1.1709,0.089,153.8,3.776e-05,7.0,0.119,,1.722,,1.1787,0.01959,6.65,660.0
26968.62,1794.3,307.5,20.17,0.9995,0.4207,0.07193,0.3598,8.68e-06,14.95,5.278,6.36,0.06771,113.2,1.595,0.8409,5.066,80.88,1.4e-06,5.005,,18.09,1.709,8.0617,0.0513,0.6297,,0.733,11.026,4.352,1.0888,0.0894,152.6,3.549e-05,6.47,0.1112,,1.558,,1.0736,0.01897,5.785,623.0
26795.01,1807.45,308.5,20.9,0.9995,0.4305,0.07235,0.3705,8.84e-06,15.19,5.342,6.623,0.06908,114.7,1.648,0.8648,5.194,80.45,1.75e-06,5.23,,18.21,1.818,8.2946,0.0522,0.6374,,0.757,11.152,4.437,1.172,0.089,153.8,3.634e-05,6.66,0.1165,,1.677,,1.1152,0.01917,6.137,637.0
26775.28,1795.11,310.7,20.84,0.9996,0.424,0.07167,0.3646,8.72e-06,14.91,5.346,6.491,0.06934,113.0,1.66,0.8487,5.103,80.26,1.87e-06,5.148,,18.1,1.837,8.2869,0.0513,0.6225,,0.745,10.883,4.384,1.1701,0.0883,153.0,3.586e-05,6.47,0.1163,,1.638,,1.0994,0.01913,6.02,632.0
26917.62,1799.21,312.1,20.93,0.9995,0.4253,0.07196,0.3711,8.79e-06,15.03,5.347,6.547,0.06939,115.2,1.656,0.8593,5.14,83.5,1.78e-06,5.194,,18.12,1.825,8.4757,0.0517,0.6291,,0.75,10.918,4.45,1.1705,0.0887,154.1,3.592e-05,6.65,0.1167,,1.634,,1.1591,0.01922,6.084,626.0
27162.14,1816.2,313.4,20.99,0.9997,0.4273,0.07191,0.3669,8.79e-06,15.08,5.313,6.635,0.07026,116.1,1.656,0.8592,5.118,86.89,1.73e-06,5.234,,18.29,1.795,8.5865,0.0523,0.6334,,0.758,10.798,4.453,1.1883,0.088,152.0,3.525e-05,6.65,0.1253,,1.638,,1.193,0.01945,6.391,637.0
27033.84,1824.21,311.4,20.67,0.9997,0.4425,0.07275,0.3682,8.77e-06,14.9,5.296,6.659,0.07055,116.7,1.656,0.8455,5.144,89.99,1.67e-06,5.232,,18.29,1.925,8.5377,0.0523,0.6378,,0.74,10.888,4.427,1.1802,0.0879,151.7,3.39e-05,6.64,0.1231,,1.652,,1.1651,0.01944,6.151,633.0
27405.61,1822.12,314.3,21.06,0.9998,0.4484,0.07483,0.3755,8.77e-06,15.17,5.422,6.758,0.07121,118.0,1.699,0.8868,5.345,93.88,1.57e-06,5.38,,18.55,2.303,8.7162,0.0533,0.6615,,0.788,10.937,4.546,1.1984,0.0888,151.3,3.356e-05,6.92,0.1243,,1.801,,1.2131,0.01996,6.608,640.0
26821.28,1800.56,309.3,20.34,0.9999,0.4596,0.07344,0.3714,8.7e-06,14.68,5.338,6.531,0.07016,115.3,1.656,0.8722,5.308,90.43,1.59e-06,5.269,,18.34,2.392,8.5258,0.0523,0.6674,,0.766,10.736,4.459,1.1558,0.0888,151.1,3.26e-05,6.83,0.1207,,1.737,,1.1415,0.0195,6.636,627.0
26880.26,1812.32,308.9,20.36,0.9998,0.4675,0.0735,0.3681,8.67e-06,14.68,5.372,6.51,0.07067,115.6,1.666,0.8716,5.317,91.8,1.53e-06,5.313,,18.3,2.316,8.436,0.0529,0.6653,,0.764,10.614,4.495,1.1636,0.0892,150.5,3.28e-05,6.81,0.1239,,1.668,,1.1304,0.01958,7.012,628.0
27102.43,1819.42,310.6,20.28,0.9997,0.4685,0.07361,0.3662,8.72e-06,14.63,5.409,6.503,0.07257,116.6,1.661,0.8768,5.29,92.42,1.72e-06,5.223,,18.32,2.351,8.4523,0.0529,0.671,,0.752,10.61,4.511,1.1634,0.0888,150.4,3.323e-05,6.8,0.121,,1.692,,1.124,0.0194,7.217,626.0
26747.78,1804.91,306.4,19.61,0.9998,0.4575,0.07212,0.3602,8.52e-06,14.31,5.273,6.43,0.07501,114.7,1.609,0.8565,5.114,92.18,1.59e-06,5.054,,17.93,2.462,8.1618,0.0523,0.639,,0.72,10.474,4.376,1.1275,0.0881,150.1,3.099e-05,6.64,0.1179,,1.637,,1.073,0.01895,6.737,624.0
26849.27,1817.35,309.0,19.53,0.9997,0.4618,0.07291,0.3679,8.79e-06,14.68,5.311,6.533,0.078,114.7,1.612,0.8718,5.074,90.83,1.52e-06,5.075,,18.23,2.452,8.1055,0.052,0.6297,,0.729,10.488,4.41,1.1254,0.0882,151.5,3.103e-05,6.75,0.1185,,1.632,,1.0502,0.01928,6.676,629.0
27219.61,1854.05,313.5,20.02,0.9998,0.4651,0.07289,0.3704,8.9e-06,14.71,5.401,6.504,0.07848,115.7,1.644,0.8893,5.072,91.7,1.59e-06,5.041,,18.37,2.721,8.5065,0.0522,0.6361,,0.77,10.527,4.521,1.1666,0.0883,151.7,3.181e-05,6.74,0.1216,,1.669,,1.0533,0.0194,6.807,634.0
26329.01,1799.89,306.0,19.22,1.0,0.453,0.07064,0.3638,8.5e-06,14.14,5.252,6.32,0.07686,112.1,1.571,0.873,4.976,85.82,1.43e-06,4.817,,17.79,2.635,8.0781,0.0508,0.5912,,0.723,10.413,4.46,1.1093,0.0866,150.1,3.127e-05,6.54,0.1162,,1.593,,0.9784,0.01944,6.37,618.0
26473.79,1805.6,304.5,19.25,1.0,0.4538,0.07088,0.3581,8.5e-06,14.08,5.245,6.278,0.07677,111.9,1.563,0.889,4.953,86.57,1.43e-06,4.819,,17.72,2.704,7.9701,0.0506,0.5827,,0.736,10.476,4.416,1.1066,0.0872,151.1,3.108e-05,6.54,0.1159,,1.617,,0.982,0.01928,6.298,624.0
26705.92,1827.79,306.8,19.35,0.9998,0.4684,0.07097,0.3626,8.54e-06,14.33,5.245,6.344,0.07538,113.2,1.578,0.9107,4.976,87.08,1.46e-06,4.824,,18.02,2.729,8.0652,0.0521,0.6022,,0.735,10.53,4.44,1.1578,0.0877,150.6,3.114e-05,6.68,0.1158,,1.609,,0.9911,0.01924,6.405,624.0
26854.27,1829.89,307.4,20.43,0.9997,0.4714,0.07255,0.3667,8.63e-06,14.56,5.337,6.438,0.07716,113.8,1.631,0.9203,5.043,88.55,1.52e-06,4.907,,18.17,2.643,8.2322,0.0521,0.6073,,0.73,10.544,4.479,1.1721,0.0882,151.2,3.311e-05,6.81,0.1188,,1.6,,0.998,0.02012,6.385,633.0
28065.0,1908.64,314.1,20.81,0.9999,0.482,0.07352,0.3828,8.81e-06,14.89,5.502,6.631,0.07742,116.4,1.667,0.9406,5.145,91.45,1.49e-06,4.993,,18.54,2.741,8.5131,0.0533,0.6307,,0.772,10.932,4.66,1.2481,0.0887,155.1,3.5e-05,7.01,0.1239,,1.642,,1.0617,0.02043,7.086,648.0
27736.4,1892.6,311.6,20.57,0.9997,0.4946,0.07313,0.3786,8.7e-06,14.48,5.459,6.637,0.0761,114.9,1.626,0.9084,5.099,90.86,1.44e-06,4.875,,18.36,2.542,8.5042,0.0527,0.6326,,0.765,10.751,4.633,1.2266,0.0892,154.0,3.333e-05,6.8,0.1264,,1.524,,1.0392,0.02048,7.411,637.0
27694.4,1900.59,311.5,21.25,0.9997,0.5205,0.07231,0.3779,8.68e-06,14.45,5.442,6.613,0.07635,113.9,1.609,0.9011,5.135,92.25,1.3e-06,4.828,,18.26,2.57,8.4895,0.0527,0.6256,,0.776,10.837,4.825,1.2181,0.0908,153.0,3.295e-05,6.9,0.1316,,1.42,,1.0011,0.02086,7.591,643.0
27210.35,1873.63,306.8,20.81,0.9999,0.5166,0.07165,0.3744,8.59e-06,14.11,5.315,6.478,0.07522,113.2,1.566,0.8921,5.025,90.42,1.26e-06,4.679,,18.02,2.522,8.3512,0.0512,0.5998,,0.728,10.458,4.692,1.1607,0.0925,145.9,3.138e-05,6.57,0.1333,,1.382,,0.9743,0.02033,7.259,636.0
26817.93,1861.78,304.9,20.49,0.9998,0.5065,0.07142,0.3644,8.45e-06,14.09,5.206,6.344,0.07477,113.4,1.547,0.8889,4.982,94.19,1.25e-06,4.671,,17.83,2.496,8.5496,0.0502,0.5975,,0.746,10.33,4.697,1.1461,0.0911,146.4,3.141e-05,6.66,0.128,,1.387,,0.9461,0.01974,7.278,641.0
27242.59,1906.68,307.2,21.26,0.9998,0.5244,0.07256,0.3782,8.6e-06,14.49,5.278,6.45,0.08266,114.9,1.614,0.8994,5.068,95.45,1.29e-06,4.807,,18.15,2.571,9.0415,0.0509,0.6142,,0.804,10.653,4.963,1.2407,0.0919,146.0,3.211e-05,6.95,0.1298,,1.449,,0.9414,0.01977,7.879,662.0
27069.22,1892.06,306.6,21.19,0.9996,0.5188,0.0727,0.3759,8.59e-06,14.58,5.341,6.421,0.08177,114.9,1.617,0.8995,5.085,96.03,1.3e-06,4.799,,18.13,2.606,8.9731,0.0502,0.6157,,0.797,10.7,4.854,1.2158,0.0919,148.3,3.171e-05,6.84,0.1286,,1.483,,0.9333,0.01996,7.924,675.0
27115.21,1890.01,305.0,21.82,0.9997,0.5359,0.07249,0.3773,8.6e-06,14.79,5.314,6.452,0.08138,115.7,1.617,0.8924,5.015,94.19,1.23e-06,4.794,,18.23,2.658,9.1779,0.0501,0.6141,,0.816,10.75,4.661,1.2071,0.0913,148.1,3.138e-05,6.85,0.1256,,1.48,,0.9602,0.01976,7.809,683.0
25728.2,1810.5,276.9,20.0,0.9997,0.509,0.0664,0.3514,7.97e-06,13.87,5.065,6.054,0.07832,108.7,1.498,0.8354,4.723,87.71,1.03e-06,4.338,,17.0,2.278,8.1134,0.0488,0.544,,0.731,10.005,4.216,1.1356,0.0879,141.1,2.785e-05,6.29,0.1146,,1.386,,0.8169,0.01852,7.082,649.0
27230.08,1884.64,281.2,20.38,0.9998,0.53,0.07025,0.3531,8.18e-06,14.62,5.202,6.261,0.07821,114.9,1.533,0.8226,4.773,90.92,1.2e-06,4.421,,17.59,2.414,8.2329,0.0495,0.5891,,0.75,10.148,4.399,1.1896,0.0898,147.1,2.881e-05,6.43,0.1192,,1.495,,0.8314,0.01888,7.379,650.0
26339.34,1832.13,259.3,18.64,0.9999,0.5183,0.06728,0.3223,7.88e-06,14.02,5.024,5.917,0.07675,111.1,1.414,0.7651,4.552,88.85,1.07e-06,4.192,,16.91,2.221,7.6991,0.0484,0.6443,,0.682,9.434,4.138,1.1261,0.0873,145.2,2.671e-05,6.14,0.1128,,1.373,,0.7572,0.01773,6.9,623.0
26498.61,1845.64,262.0,18.89,0.9999,0.5236,0.06796,0.3228,7.94e-06,13.93,5.023,5.995,0.07741,111.9,1.415,0.7813,4.63,88.5,1.08e-06,4.177,,16.98,2.266,7.6789,0.0486,0.6295,,0.716,9.437,4.093,1.1287,0.0871,142.5,2.709e-05,6.16,0.1134,,1.368,,0.7287,0.01779,6.941,624.0
26477.81,1840.37,260.5,17.4,1.0,0.538,0.06947,0.2951,7.88e-06,13.75,4.982,5.993,0.072,110.8,1.385,0.7261,4.584,89.3,1.14e-06,4.274,,16.94,2.292,7.4428,0.0484,0.6216,,0.727,9.174,4.032,1.1317,0.0889,143.1,2.652e-05,6.11,0.1109,,1.331,,0.7382,0.01706,6.907,628.0
25841.21,1751.53,238.7,15.61,0.9995,0.5067,0.06175,0.2747,6.85e-06,11.65,4.517,5.233,0.06961,103.4,1.203,0.6092,4.065,77.13,9.4e-07,3.69,,15.08,1.898,6.009,0.0455,0.5514,,0.609,8.237,3.485,0.9932,0.0821,137.7,2.14e-05,4.92,0.1028,,1.091,,0.6095,0.01557,5.687,630.0
25925.55,1752.76,235.4,15.55,0.9996,0.5208,0.06151,0.272,6.67e-06,11.58,4.523,5.175,0.07025,102.8,1.209,0.6348,4.06,77.68,9.2e-07,3.655,,15.09,1.957,6.2443,0.0444,0.5358,,0.601,8.444,3.429,0.992,0.0835,137.9,2.122e-05,5.0,0.0993,,1.093,,0.6055,0.01581,5.72,617.0
